input	output	model	block_name	block_Q	item
"Name: Piscina Rei
Star rating: 4
City: Muravera
Country: Italy
Accommodation type: Resort
Hotel facilities: Hotel bar
Room amenities: Balcony (upon inquiry)
Sport: Volleyball, Surfing, Bike rental
Childcare services: Kids stay for free, Childcare, Organised activities for kids
Wellness: Massage, Hot tub, Beauty salon
Accessibility: Accessible bathroom, Wheelchair accessible, Accessible parking"	"Piscina Rei is a 4-star resort located in the charming city of Muravera, Italy.
This beautiful accommodation offers a wide range of facilities and services to ensure a comfortable and enjoyable stay for all guests.
The resort features a hotel bar where guests can enjoy a refreshing drink or a light snack.
The rooms at Piscina Rei are equipped with a balcony, upon inquiry, offering stunning views of the surrounding area.
For sports enthusiasts, the resort offers a variety of activities including volleyball, surfing, and bike rental.
Guests can also take advantage of the childcare services available at the resort, including kids stay for free, childcare, and organized activities for kids.
In addition to sports and childcare services, Piscina Rei also offers wellness facilities such as massage, hot tub, and a beauty salon.
The resort is fully accessible, with accessible bathrooms, wheelchair accessibility, and accessible parking available for guests with disabilities.
Overall, Piscina Rei is an excellent choice for travelers seeking a comfortable and enjoyable stay in Muravera, Italy."	mistralai/Mixtral-8x7B-Instruct-v0.1	12	22	18
"Name: Piscina Rei
Star rating: 4
City: Muravera
Country: Italy
Accommodation type: Resort
Hotel facilities: Hotel bar
Room amenities: Balcony (upon inquiry)
Sport: Volleyball, Surfing, Bike rental
Childcare services: Kids stay for free, Childcare, Organised activities for kids
Wellness: Massage, Hot tub, Beauty salon
Accessibility: Accessible bathroom, Wheelchair accessible, Accessible parking"	"The Piscina Rei Resort is a stunning four-star accommodation located in the beautiful city of Muravera, Italy.
It offers guests an exceptional experience with a variety of facilities and amenities.
The resort is perfect for those who want to enjoy a comfortable and relaxing stay while exploring the city.
The hotel has a bar where you can enjoy a drink or two with friends or family.
The room amenities include a balcony, which can be requested upon inquiry, and a flat-screen TV for your entertainment.
The resort also offers bike rentals, volleyball, surfing, and other sports activities for guests to enjoy.
For families, the Piscina Rei Resort provides childcare services, including kids' stay for free, childcare, and organized activities for kids.
The hotel also has a hot tub, beauty salon, and massage services for guests who want to indulge in some pampering during their stay.
The hotel's accessibility features include an accessible bathroom, wheelchair accessibility, and accessible parking, making it suitable for guests with disabilities.
Overall, the Piscina Rei Resort is a perfect destination for those seeking a luxurious and relaxing stay in Italy."	tiiuae/falcon-180b-demo	13	27	23
"Name: Piscina Rei
Star rating: 4
City: Muravera
Country: Italy
Accommodation type: Resort
Hotel facilities: Hotel bar
Room amenities: Balcony (upon inquiry)
Sport: Volleyball, Surfing, Bike rental
Childcare services: Kids stay for free, Childcare, Organised activities for kids
Wellness: Massage, Hot tub, Beauty salon
Accessibility: Accessible bathroom, Wheelchair accessible, Accessible parking"	"""Piscina Rei"" is a luxurious 4-star resort located in Muravera, Italy.
This elegant accommodation offers a range of facilities and amenities for a relaxing stay.
Guests can enjoy the hotel bar, indulge in massages and beauty treatments at the wellness center, and unwind in the hot tub.
For active guests, the resort provides opportunities for volleyball, surfing, and bike rental.
Families are catered to with complimentary stays for kids, childcare services, and organized activities.
Accessibility features include wheelchair access, accessible parking, and bathrooms.
Rooms may feature balconies, subject to availability."	ChatGPT/feb-20	14	7	3
"Name: Piscina Rei
Star rating: 4
City: Muravera
Country: Italy
Accommodation type: Resort
Hotel facilities: Hotel bar
Room amenities: Balcony (upon inquiry)
Sport: Volleyball, Surfing, Bike rental
Childcare services: Kids stay for free, Childcare, Organised activities for kids
Wellness: Massage, Hot tub, Beauty salon
Accessibility: Accessible bathroom, Wheelchair accessible, Accessible parking"	"Indulge in coastal bliss at Piscina Rei Resort, a 4-star retreat in Muravera, Italy.
This resort offers a tranquil haven with Hotel bar, while rooms may feature balconies (upon request).
Stay active with Volleyball, Surfing, and Bike rentals.
Cater to your little ones with Kids stay free, Childcare, and organized activities.
Rejuvenate in style with Massage, Hot tub, and Beauty salon services.
The resort prioritizes accessibility, boasting Accessible bathrooms, Wheelchair access, and Accessible parking."	gemini-1.0-pro	15	12	8
"Name: Renaissance Sharm El Sheikh Golden View Beach Resort
Star rating: 5
City: Sharm el-Sheikh
Country: Egypt
Accommodation type: Hotel
Hotel facilities: Beach bar, WiFi in public areas, Free WiFi
Room amenities: Cable TV, Shower
Sport: Diving
Childcare services: Cot, Kids stay for free, Kids' club
Wellness: Body treatments, Hot tub
Accessibility: Accessible parking"	"Renaissance Sharm El Sheikh Golden View Beach Resort is a 5-star hotel in Sharm el-Sheikh, Egypt.
It has a beach bar, free WiFi, and a hot tub.
Rooms have a cable TV and a shower.
The hotel has a kids' club and cots are available.
It also has a fitness centre and body treatments."	google/flan-t5-xxl	16	23	19
"Name: Renaissance Sharm El Sheikh Golden View Beach Resort
Star rating: 5
City: Sharm el-Sheikh
Country: Egypt
Accommodation type: Hotel
Hotel facilities: Beach bar, WiFi in public areas, Free WiFi
Room amenities: Cable TV, Shower
Sport: Diving
Childcare services: Cot, Kids stay for free, Kids' club
Wellness: Body treatments, Hot tub
Accessibility: Accessible parking"	"The Renaissance Sharm El Sheikh Golden View Beach Resort is a luxurious 5-star hotel located in the beautiful city of Sharm el-Sheikh, Egypt.
This stunning accommodation offers breathtaking views of the Red Sea and provides guests with a wide range of facilities and amenities to ensure a comfortable and enjoyable stay.
As a guest of the hotel, you can enjoy access to a private beach, where you can soak up the sun and take a refreshing dip in the crystal-clear waters of the Red Sea.
The hotel also features a beach bar, where you can enjoy a refreshing drink or a light snack while taking in the stunning views.
The hotel offers free WiFi in public areas, so you can stay connected with your loved ones or work while on the go.
The rooms are equipped with cable TV and a shower, providing you with all the comforts and conveniences you need for a relaxing stay.
If you're looking for adventure, the hotel offers a range of sports activities, including diving, so you can explore the underwater world of the Red Sea.
The hotel also offers childcare services, including a cot and a kids' club."	mistralai/Mixtral-8x7B-Instruct-v0.1	17	28	24
"Name: Renaissance Sharm El Sheikh Golden View Beach Resort
Star rating: 5
City: Sharm el-Sheikh
Country: Egypt
Accommodation type: Hotel
Hotel facilities: Beach bar, WiFi in public areas, Free WiFi
Room amenities: Cable TV, Shower
Sport: Diving
Childcare services: Cot, Kids stay for free, Kids' club
Wellness: Body treatments, Hot tub
Accessibility: Accessible parking"	"The Renaissance Sharm El Sheikh Golden View Beach Resort is a luxurious 5-star hotel located in the sunny city of Sharm el-Sheikh in Egypt.
This beachfront accommodation boasts a variety of amenities, including a beach bar, free WiFi in public areas, and cable TV in all rooms.
Guests can enjoy a relaxing shower after a long day of exploring the city or diving in the crystal-clear waters of the Red Sea.
Families traveling with children can take advantage of the hotel's childcare services, such as cots, kids' club, and kids stay for free.
The hotel also offers a variety of wellness options, including body treatments and hot tub, perfect for unwinding and rejuvenating.
The Renaissance Sharm El Sheikh Golden View Beach Resort is committed to accessibility, offering accessible parking for guests with disabilities."	tiiuae/falcon-180b-demo	18	8	4
"Name: Renaissance Sharm El Sheikh Golden View Beach Resort
Star rating: 5
City: Sharm el-Sheikh
Country: Egypt
Accommodation type: Hotel
Hotel facilities: Beach bar, WiFi in public areas, Free WiFi
Room amenities: Cable TV, Shower
Sport: Diving
Childcare services: Cot, Kids stay for free, Kids' club
Wellness: Body treatments, Hot tub
Accessibility: Accessible parking"	"Experience luxury at the Renaissance Sharm El Sheikh Golden View Beach Resort, a 5-star hotel located in Sharm el-Sheikh, Egypt.
Nestled along the picturesque coastline, this resort offers a range of amenities including a beach bar, free WiFi in public areas, and accessible parking.
Indulge in comfort with room amenities such as cable TV and a refreshing shower.
Dive into adventure with diving excursions, while childcare services including cots and a kids' club cater to families.
Relax and rejuvenate with body treatments and a soothing hot tub, making your stay a memorable blend of leisure and indulgence."	ChatGPT/feb-20	19	13	9
"Name: Renaissance Sharm El Sheikh Golden View Beach Resort
Star rating: 5
City: Sharm el-Sheikh
Country: Egypt
Accommodation type: Hotel
Hotel facilities: Beach bar, WiFi in public areas, Free WiFi
Room amenities: Cable TV, Shower
Sport: Diving
Childcare services: Cot, Kids stay for free, Kids' club
Wellness: Body treatments, Hot tub
Accessibility: Accessible parking"	"Escape to paradise at the 5-star Renaissance Sharm El Sheikh Golden View Beach Resort in Egypt.
Relax on the idyllic beach with a drink from the beach bar.
The elegant rooms feature cable TV and showers.
Indulge in a rejuvenating spa with body treatments and unwind in the hot tub.
Stay connected with free WiFi in public areas.
Keep active with diving, and younger guests will delight in the kids' club and stay for free.
The hotel also offers accessible parking for added convenience."	gemini-1.0-pro	20	18	14
"Name: Resort at Squaw Creek a Destination by Hyatt Residence
Star rating: 4
City: Tahoe City
Country: USA
Accommodation type: Hotel
Hotel facilities: Cashless payment, Car hire
Room amenities: Television, Cosmetic mirror, Fireplace
Sport: Tennis court, Golf course
Childcare services: Organised activities for kids, Childcare, Kids' club
Wellness: Sauna, Massage, Hot stone massage
Accessibility: Wheelchair accessible"	"The Resort at Squaw Creek a Destination by Hyatt Residence is a 4-star hotel in Tahoe City, USA.
It has a tennis court and a golf course, and offers a kids' club, a sauna, massage and hot stone massage.
The rooms have a TV, a cosmetic mirror and a fireplace."	google/flan-t5-xxl	21	29	25
"Name: Resort at Squaw Creek a Destination by Hyatt Residence
Star rating: 4
City: Tahoe City
Country: USA
Accommodation type: Hotel
Hotel facilities: Cashless payment, Car hire
Room amenities: Television, Cosmetic mirror, Fireplace
Sport: Tennis court, Golf course
Childcare services: Organised activities for kids, Childcare, Kids' club
Wellness: Sauna, Massage, Hot stone massage
Accessibility: Wheelchair accessible"	"The Resort at Squaw Creek a Destination by Hyatt Residence is a 4-star hotel located in the heart of Tahoe City, USA.
This stunning accommodation offers a range of facilities and amenities to ensure a comfortable and enjoyable stay for all guests.
As a Destination by Hyatt Residence, the hotel offers cashless payment options and car hire services, making it easy for guests to explore the local area.
The hotel's accommodation type is a hotel, and it boasts a range of room amenities including a television, cosmetic mirror, and fireplace.
For sports enthusiasts, the hotel offers a tennis court and golf course, providing plenty of opportunities to stay active during your stay.
The hotel also offers a range of childcare services, including organised activities for kids, childcare, and a kids' club, making it an ideal choice for families.
The hotel's wellness facilities are also top-notch, with a sauna, massage, and hot stone massage available to help guests relax and unwind.
The hotel is also wheelchair accessible, ensuring that all guests can enjoy a comfortable and accessible stay."	mistralai/Mixtral-8x7B-Instruct-v0.1	22	9	5
"Name: Resort at Squaw Creek a Destination by Hyatt Residence
Star rating: 4
City: Tahoe City
Country: USA
Accommodation type: Hotel
Hotel facilities: Cashless payment, Car hire
Room amenities: Television, Cosmetic mirror, Fireplace
Sport: Tennis court, Golf course
Childcare services: Organised activities for kids, Childcare, Kids' club
Wellness: Sauna, Massage, Hot stone massage
Accessibility: Wheelchair accessible"	"The Resort at Squaw Creek, a Destination by Hyatt Residence is a 4-star hotel located in Tahoe City, USA.
It is a hotel accommodation with cashless payment and car hire facilities.
The rooms are equipped with amenities such as a television, cosmetic mirror, and fireplace.
For sports enthusiasts, the hotel has a tennis court and golf course.
Families traveling with children can benefit from childcare services such as organized activities for kids, childcare, and a kids' club.
For those seeking relaxation, the hotel also offers wellness facilities such as a sauna, massage, and hot stone massage.
Furthermore, the hotel is wheelchair accessible, making it suitable for guests with disabilities."	tiiuae/falcon-180b-demo	23	14	10
"Name: Resort at Squaw Creek a Destination by Hyatt Residence
Star rating: 4
City: Tahoe City
Country: USA
Accommodation type: Hotel
Hotel facilities: Cashless payment, Car hire
Room amenities: Television, Cosmetic mirror, Fireplace
Sport: Tennis court, Golf course
Childcare services: Organised activities for kids, Childcare, Kids' club
Wellness: Sauna, Massage, Hot stone massage
Accessibility: Wheelchair accessible"	"The Resort at Squaw Creek, a Destination by Hyatt Residence, is a 4-star hotel located in Tahoe City, USA.
This luxurious accommodation offers a variety of amenities and facilities for a comfortable stay.
Guests can enjoy cashless payment options and car hire services for convenience.
Rooms are equipped with amenities such as television, cosmetic mirror, and fireplace.
For sports enthusiasts, the resort features tennis courts and a golf course.
Families traveling with children can take advantage of organized activities, childcare services, and a kids' club.
Wellness amenities include a sauna, massage services, and hot stone massages.
The resort is also wheelchair accessible, ensuring inclusivity for all guests."	ChatGPT/feb-20	24	19	15
"Name: Resort at Squaw Creek a Destination by Hyatt Residence
Star rating: 4
City: Tahoe City
Country: USA
Accommodation type: Hotel
Hotel facilities: Cashless payment, Car hire
Room amenities: Television, Cosmetic mirror, Fireplace
Sport: Tennis court, Golf course
Childcare services: Organised activities for kids, Childcare, Kids' club
Wellness: Sauna, Massage, Hot stone massage
Accessibility: Wheelchair accessible"	"Nestled in Tahoe City, Resort at Squaw Creek is a 4-star haven offering tranquility.
Its well-equipped rooms feature amenities like TVs and fireplaces.
Indulge in a relaxing sauna session or rejuvenate with a massage.
Let your kids join organized activities while you enjoy organized activities while you enjoy tennis or golf.
Accessibility options ensure comfort for all.
Cashless payment and car hire services add convenience, while the hotel's childcare offerings provide peace of mind for parents."	gemini-1.0-pro	25	24	20
"Name: Ziegler Cottage
Star rating: 3
City: Negombo
Country: Sri Lanka
Accommodation type: Hotel
Hotel facilities: Car hire, Spa
Room amenities: Free WiFi (rooms), Minibar, Hairdryer
Sport: Bike rental
Childcare services: Playground, Childcare
Wellness: Hydrotherapy
Accessibility: Wheelchair accessible"	"Ziegler Cottage is a 3 star hotel in Negombo, Sri Lanka.
It has a playground and childcare services.
It has a spa and car hire.
Rooms have free Wi-Fi, minibars and hairdryers.
It is wheelchair accessible."	google/flan-t5-xxl			
"Name: Ziegler Cottage
Star rating: 3
City: Negombo
Country: Sri Lanka
Accommodation type: Hotel
Hotel facilities: Car hire, Spa
Room amenities: Free WiFi (rooms), Minibar, Hairdryer
Sport: Bike rental
Childcare services: Playground, Childcare
Wellness: Hydrotherapy
Accessibility: Wheelchair accessible"	"Ziegler Cottage is a charming 3-star hotel located in the vibrant coastal city of Negombo, Sri Lanka.
This accommodation type is perfect for travelers seeking a comfortable and convenient place to stay while exploring the beautiful country.
The hotel offers a range of facilities to enhance guests' stay, including car hire and a spa.
Guests can easily rent a car to explore the surrounding areas or unwind and rejuvenate at the hotel's spa.
Each room at Ziegler Cottage is equipped with modern amenities, including free WiFi, a minibar, and a hairdryer.
Guests can stay connected with their loved ones or work remotely while enjoying a refreshing drink from the minibar.
For those who enjoy outdoor activities, the hotel offers bike rental services.
Guests can explore the scenic beauty of Negombo and its surroundings on two wheels.
Ziegler Cottage is also a family-friendly hotel, offering childcare services such as a playground and childcare.
Parents can relax and enjoy their stay while their children are well taken care of."	mistralai/Mixtral-8x7B-Instruct-v0.1			
"Name: Ziegler Cottage
Star rating: 3
City: Negombo
Country: Sri Lanka
Accommodation type: Hotel
Hotel facilities: Car hire, Spa
Room amenities: Free WiFi (rooms), Minibar, Hairdryer
Sport: Bike rental
Childcare services: Playground, Childcare
Wellness: Hydrotherapy
Accessibility: Wheelchair accessible"	"Ziegler Cottage is a charming 3-star hotel located in the beautiful coastal city of Negombo, Sri Lanka.
The hotel features a range of amenities designed to make your stay as comfortable and enjoyable as possible.
Whether you're traveling alone or with your family, you'll find everything you need at Ziegler Cottage.
For those looking to explore the local area, the hotel offers car hire and bike rental services, so you can easily get around and see all the sights.
And if you're looking to relax and unwind, the hotel's spa offers a range of treatments, including hydrotherapy, to help you feel refreshed and rejuvenated.
The rooms at Ziegler Cottage are spacious and well-appointed, with modern furnishings and all the amenities you need for a comfortable stay.
Each room comes equipped with free WiFi, a minibar, and a hairdryer, so you can stay connected and comfortable throughout your stay.
For families with children, the hotel offers a range of childcare services, including a playground and childcare services, so you can relax and enjoy your vacation while your kids have fun.
And for those with mobility needs, the hotel is wheelchair accessible, making it easy for everyone to enjoy all the amenities and services on offer.
Whether you're looking for a romantic getaway or a family vacation, Ziegler Cottage is the perfect choice for your next trip to Sri Lanka.
Book your stay today and experience the beauty and charm of this stunning coastal city for yourself!."	tiiuae/falcon-180b-demo			
"Name: Ziegler Cottage
Star rating: 3
City: Negombo
Country: Sri Lanka
Accommodation type: Hotel
Hotel facilities: Car hire, Spa
Room amenities: Free WiFi (rooms), Minibar, Hairdryer
Sport: Bike rental
Childcare services: Playground, Childcare
Wellness: Hydrotherapy
Accessibility: Wheelchair accessible"	"Ziegler Cottage is a charming 3-star hotel nestled in Negombo, Sri Lanka.
Offering a tranquil escape, this hotel boasts convenient amenities such as car hire and a spa.
Guests can enjoy comfortable rooms equipped with free WiFi, a minibar, and a hairdryer.
The hotel also offers bike rentals for exploration and childcare services including a playground.
For relaxation, guests can indulge in hydrotherapy, and the accommodation is wheelchair accessible, ensuring comfort for all visitors."	ChatGPT/feb-20			
"Name: Ziegler Cottage
Star rating: 3
City: Negombo
Country: Sri Lanka
Accommodation type: Hotel
Hotel facilities: Car hire, Spa
Room amenities: Free WiFi (rooms), Minibar, Hairdryer
Sport: Bike rental
Childcare services: Playground, Childcare
Wellness: Hydrotherapy
Accessibility: Wheelchair accessible"	"Ziegler Cottage is a 3-star hotel in Negombo, Sri Lanka.
It offers hotel facilities such as car hire and a spa.
Guest rooms feature free WiFi, minibars, and hairdryers.
Sport options include bike rental.
Childcare services include a playground and childcare.
Wellness facilities include hydrotherapy, while wheelchair accessibility is available for guests with disabilities."	gemini-1.0-pro			
